raw_metric,canonical_metric,metric_abbr,metric_group,language,source_file,confidence,notes
3.4 促进高阶思维与能力发展 (Higher-Order Thinking & Skill Development),Higher-Order Thinking & Skill Development,HOTSD,Pedagogical Application,zh,metrics_map.json,high,exact/contained official label
1.2 角色与口吻一致性 (Role & Tone Consistency),Role & Tone Consistency,RTC,Scenario Adaptability,zh,metrics_map.json,high,exact/contained official label
"3.3 个性化适应与学习支持 (Personalization, Adaptation & Learning Support)","Personalization, Adaptation & Learning Support",PALS,Pedagogical Application,zh,metrics_map.json,high,exact/contained official label
Instruction Following & Task Completion,Instruction Following & Task Completion,IFTC,Scenario Adaptability,en,official_reference,high,exact/contained official label
指令遵循与任务完成,Instruction Following & Task Completion,IFTC,Scenario Adaptability,zh,official_reference,high,exact/contained official label
IFTC,Instruction Following & Task Completion,IFTC,Scenario Adaptability,en,official_reference,high,normalized exact alias
Role & Tone Consistency,Role & Tone Consistency,RTC,Scenario Adaptability,en,official_reference,high,exact/contained official label
角色与口吻一致性,Role & Tone Consistency,RTC,Scenario Adaptability,zh,official_reference,high,exact/contained official label
RTC,Role & Tone Consistency,RTC,Scenario Adaptability,en,official_reference,high,normalized exact alias
Content Relevance & Scope Control,Content Relevance & Scope Control,CRSC,Scenario Adaptability,en,official_reference,high,exact/contained official label
内容相关性与范围控制,Content Relevance & Scope Control,CRSC,Scenario Adaptability,zh,official_reference,high,exact/contained official label
CRSC,Content Relevance & Scope Control,CRSC,Scenario Adaptability,en,official_reference,high,normalized exact alias
Scenario Element Integration,Scenario Element Integration,SEI,Scenario Adaptability,en,official_reference,high,exact/contained official label
场景要素融合度,Scenario Element Integration,SEI,Scenario Adaptability,zh,official_reference,high,exact/contained official label
SEI,Scenario Element Integration,SEI,Scenario Adaptability,en,official_reference,high,normalized exact alias
Basic Factual Accuracy,Basic Factual Accuracy,BFA,Factual & Reasoning Accuracy,en,official_reference,high,exact/contained official label
基础事实准确性,Basic Factual Accuracy,BFA,Factual & Reasoning Accuracy,zh,official_reference,high,exact/contained official label
BFA,Basic Factual Accuracy,BFA,Factual & Reasoning Accuracy,en,official_reference,high,normalized exact alias
Domain Knowledge Accuracy,Domain Knowledge Accuracy,DKA,Factual & Reasoning Accuracy,en,official_reference,high,exact/contained official label
领域知识专业性,Domain Knowledge Accuracy,DKA,Factual & Reasoning Accuracy,zh,official_reference,high,exact/contained official label
DKA,Domain Knowledge Accuracy,DKA,Factual & Reasoning Accuracy,en,official_reference,high,normalized exact alias
Reasoning Process Rigor,Reasoning Process Rigor,RPR,Factual & Reasoning Accuracy,en,official_reference,high,exact/contained official label
推理过程严谨性,Reasoning Process Rigor,RPR,Factual & Reasoning Accuracy,zh,official_reference,high,exact/contained official label
RPR,Reasoning Process Rigor,RPR,Factual & Reasoning Accuracy,en,official_reference,high,normalized exact alias
Error Identification & Correction Precision,Error Identification & Correction Precision,EICP,Factual & Reasoning Accuracy,en,official_reference,high,exact/contained official label
错误识别与纠正精确性,Error Identification & Correction Precision,EICP,Factual & Reasoning Accuracy,zh,official_reference,high,exact/contained official label
EICP,Error Identification & Correction Precision,EICP,Factual & Reasoning Accuracy,en,official_reference,high,normalized exact alias
"Clarity, Simplicity & Inspiration","Clarity, Simplicity & Inspiration",CSI,Pedagogical Application,en,official_reference,high,exact/contained official label
清晰易懂与表达启发,"Clarity, Simplicity & Inspiration",CSI,Pedagogical Application,zh,official_reference,high,exact/contained official label
CSI,"Clarity, Simplicity & Inspiration",CSI,Pedagogical Application,en,official_reference,high,normalized exact alias
"Motivation, Guidance & Positive Feedback","Motivation, Guidance & Positive Feedback",MGPF,Pedagogical Application,en,official_reference,high,exact/contained official label
激励引导与积极反馈,"Motivation, Guidance & Positive Feedback",MGPF,Pedagogical Application,zh,official_reference,high,exact/contained official label
MGPF,"Motivation, Guidance & Positive Feedback",MGPF,Pedagogical Application,en,official_reference,high,normalized exact alias
"Personalization, Adaptation & Learning Support","Personalization, Adaptation & Learning Support",PALS,Pedagogical Application,en,official_reference,high,exact/contained official label
个性化适应与学习支持,"Personalization, Adaptation & Learning Support",PALS,Pedagogical Application,zh,official_reference,high,exact/contained official label
PALS,"Personalization, Adaptation & Learning Support",PALS,Pedagogical Application,en,official_reference,high,normalized exact alias
Higher-Order Thinking & Skill Development,Higher-Order Thinking & Skill Development,HOTSD,Pedagogical Application,en,official_reference,high,exact/contained official label
促进高阶思维与能力发展,Higher-Order Thinking & Skill Development,HOTSD,Pedagogical Application,zh,official_reference,high,exact/contained official label
HOTSD,Higher-Order Thinking & Skill Development,HOTSD,Pedagogical Application,en,official_reference,high,normalized exact alias
